codigo_iccs,tipo,estado_civil,estatus_migratorio,edad,sexo,genero,nacionalidad,autoidentificacion_etnica,numero_detenciones,nivel_de_instruccion,condicion,movilizacion,tipo_arma,arma,Fecha_Detención,hora_detencion_aprehension,lugar,tipo_lugar,codigo_distrito,codigo_circuito,codigo_subcircuito,Zona,Subzona,nombre_distrito,nombre_circuito,nombre_subcircuito,codigo_provincia,codigo_canton,codigo_parroquia,nombre_provincia,Canton,nombre_parroquia,presunta_flagrancia,presunta_infraccion,Presunta_Subinfracción,presunta_modalidad
60124.01,APREHENDIDO,SOLTERO/A,NO APLICA,36,HOMBRE,MASCULINO,ECUATORIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/25/2024,12:30,ESPACIO PRIVADO,ÁREA PRIVADA,09D02,09D02C05,09D02C05S03,ZONA 8,DMG,ESTEROS,TRINITARIA SUR,TRINITARIA SUR 3,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
40121.01,DETENIDO,SOLTERO/A,SIN DATO,49,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/11/2024,17:15,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,22D02,22D02C05,22D02C05S01,ZONA 2,ORELLANA,ORELLANA LORETO,COCA OCCIDENTE,COCA OCCIDENTE 1,22,2201,220150,ORELLANA,ORELLANA,PUERTO FRANCISCO DE ORELLANA (EL COCA),NO,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO EN EJES VIALES O CARRETERAS,ASALTO POR OBSTRUCCIÓN EN LA VÍA
4011,DETENIDO,DIVORCIADO/A,NO APLICA,54,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/5/2024,16:00,PARQUE Y PLAZA,ÁREAS DE ACCESO PUBLICO,11D01,11D01C14,11D01C14S01,ZONA 7,LOJA,LOJA,EL VALLE,EL VALLE 1,11,1101,110150,LOJA,LOJA,LOJA,NO,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO A PERSONAS,ASALTO
60124.01,APREHENDIDO,SOLTERO/A,SIN DATO,26,HOMBRE,FEMENINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,SIN DATO,A PIE,NINGUNA,NINGUNA,1/10/2024,22:50,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D11,17D11C11,17D11C11S02,ZONA 2,PICHINCHA,RUMIÑAHUI - MEJIA,SAN RAFAEL,SAN RAFAEL 2,17,1705,170550,PICHINCHA,RUMIÐAHUI,SANGOLQUI,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
60124.01,APREHENDIDO,CASADO/A,NO APLICA,51,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/30/2024,10:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D05,17D05C02,17D05C02S03,ZONA 9,DMQ,EUGENIO ESPEJO,LA MARISCAL,LA MARISCAL 3,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
90610.02,APREHENDIDO,SOLTERO/A,SIN DATO,29,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,ALIENTO A LICOR,A PIE,NINGUNA,NINGUNA,1/13/2024,23:45,ESPACIO PRIVADO,ÁREA PRIVADA,13D01,13D01C04,13D01C04S01,ZONA 4,MANABI,PORTOVIEJO,EL FLORON,EL FLORON 1,13,1301,130150,MANABI,PORTOVIEJO,PORTOVIEJO,SI,TERRORISMO Y SU FINANCIACIÓN,TERRORISMO,SIN DATO
,DETENIDO,DIVORCIADO/A,REGULAR,39,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/26/2024,10:10,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,04D01,04D01C05,04D01C05S01,ZONA 1,CARCHI,TULCAN,EL PORTAL,EL PORTAL 1,4,401,40150,CARCHI,TULCAN,TULCAN,NO,BOLETAS,BOLETA DE APREMIO,SIN DATO
50211,APREHENDIDO,SOLTERO/A,SIN DATO,32,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,MOTOCICLETA,NINGUNA,NINGUNA,1/23/2024,18:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,11D09,11D09C01,11D09C01S01,ZONA 7,LOJA,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO 1,11,1113,111350,LOJA,ZAPOTILLO,ZAPOTILLO,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,HURTO,A MOTOS
80690.02,APREHENDIDO,CASADO/A,NO APLICA,34,HOMBRE,NO APLICA,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/19/2024,21:30,POLICÍA NACIONAL,UNIDADES DE REACCIÓN Y EMERGENCIA,04D01,04D01C04,04D01C04S01,ZONA 1,CARCHI,TULCAN,ISIDRO AYORA,ISIDRO AYORA 1,4,401,40150,CARCHI,TULCAN,TULCAN,SI,DELITOS CONTRA LA TUTELA JUDICIAL EFECTIVA,INGRESO DE ARTÍCULOS PROHIBIDOS,SIN DATO
21110.05,DETENIDO,CASADO/A,REGULAR,53,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/17/2024,12:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,11D01,11D01C13,11D01C13S01,ZONA 7,LOJA,LOJA,SAGRARIO,SAGRARIO 1,11,1101,110150,LOJA,LOJA,LOJA,NO,DELITOS CONTRA EL DERECHO A LA INTIMIDAD PERSONAL Y FAMILIAR,VIOLACIÓN A LA INTIMIDAD,SIN DATO
,DETENIDO,SOLTERO/A,NO APLICA,31,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,AUTOMOVIL,NINGUNA,NINGUNA,1/24/2024,11:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D06,17D06C04,17D06C04S04,ZONA 9,DMQ,ELOY ALFARO,CHIMBACALLE,CHIMBACALLE 4,17,1701,170150,PICHINCHA,QUITO,QUITO,NO,BOLETAS,BOLETA DE DETENCIÓN/CAPTURA,SIN DATO
90111.03,APREHENDIDO,SOLTERO/A,NO APLICA,30,HOMBRE,NO APLICA,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,AUTOMOVIL,ARMAS DE FUEGO,CARTUCHERA,1/9/2024,20:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,13D05,13D05C04,13D05C04S01,ZONA 4,MANABI,EL CARMEN,EL PORVENIR,EL PORVENIR 1,13,1304,130450,MANABI,EL CARMEN,EL CARMEN,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,TENENCIA Y PORTE DE ARMAS,SIN DATO
20111.11,APREHENDIDO,SOLTERO/A,NO APLICA,31,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,EDUCACIÓN GENERAL BÁSICA,ALIENTO A LICOR,SIN DATO,NINGUNA,NINGUNA,1/25/2024,16:30,ESPACIO PRIVADO,ÁREA PRIVADA,01D01,01D01C20,01D01C20S01,ZONA 6,AZUAY,CUENCA NORTE,SININCAY,SININCAY 1,1,101,10167,AZUAY,CUENCA,SININCAY,SI,DELITOS DE VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR,VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR,SIN DATO
70490.03,APREHENDIDO,SOLTERO/A,NO APLICA,22,HOMBRE,NO APLICA,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/8/2024,17:30,CANCHAS DE USO MÚLTIPLE,ÁREAS DE ACCESO PUBLICO,03D03,03D03C02,03D03C02S02,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL CENTRO,TRONCAL CENTRO 2,3,304,30450,CAÑAR,LA TRONCAL,LA TRONCAL,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,RECEPTACIÓN,SIN DATO
,DETENIDO,SOLTERO/A,SIN DATO,40,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/30/2024,20:25,CANCHAS DE USO MÚLTIPLE,ÁREAS DE ACCESO PUBLICO,03D03,03D03C02,03D03C02S01,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL CENTRO,TRONCAL CENTRO 1,3,304,30450,CAÑAR,LA TRONCAL,LA TRONCAL,NO,BOLETAS,BOLETA DE APREMIO,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,NO APLICA,26,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/10/2024,18:10,PARQUE Y PLAZA,ÁREAS DE ACCESO PUBLICO,10D02,10D02C02,10D02C02S01,ZONA 1,IMBABURA,VALLE DEL AMANECER,TEXTILERO,TEXTILERO 1,10,1002,100250,IMBABURA,ANTONIO ANTE,ATUNTAQUI,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
90111.03,APREHENDIDO,SOLTERO/A,NO APLICA,23,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/23/2024,21:30,ESPACIO PRIVADO,ÁREA PRIVADA,09D02,09D02C04,09D02C04S04,ZONA 8,DMG,ESTEROS,TRINITARIA NORTE,TRINITARIA NORTE 4,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,TENENCIA Y PORTE DE ARMAS,SIN DATO
70190.12,DETENIDO,SOLTERO/A,SIN DATO,23,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/25/2024,9:45,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,09D05,09D05C06,09D05C06S02,ZONA 8,DMG,MODELO,KENNEDY,KENNEDY 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,NO,DELITOS CONTRA EL DERECHO A LA IDENTIDAD,SUPLANTACIÓN DE IDENTIDAD,SIN DATO
20111.11,APREHENDIDO,DIVORCIADO/A,NO APLICA,60,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,ALIENTO A LICOR,A PIE,NINGUNA,NINGUNA,1/5/2024,18:20,ESPACIO PRIVADO,ÁREA PRIVADA,01D01,01D01C20,01D01C20S01,ZONA 6,AZUAY,CUENCA NORTE,SININCAY,SININCAY 1,1,101,10167,AZUAY,CUENCA,SININCAY,SI,DELITOS DE VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR,VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR,SIN DATO
40121.01,APREHENDIDO,SOLTERO/A,NO APLICA,26,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/6/2024,11:00,ESPACIO PRIVADO,ÁREA PRIVADA,12D01,12D01C12,12D01C12S03,ZONA 5,LOS RIOS,BABAHOYO,MATA DE CACAO,MATA DE CACAO 3,12,1201,120153,LOS RIOS,BABAHOYO,FEBRES CORDERO (LAS JUNTAS),SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO EN EJES VIALES O CARRETERAS,ASALTO POR OBSTRUCCIÓN EN LA VÍA
90111.02,APREHENDIDO,SOLTERO/A,SIN DATO,31,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,EDUCACIÓN GENERAL BÁSICA,NORMAL,MOTOCICLETA,NINGUNA,NINGUNA,1/9/2024,23:45,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,19D01,19D01C01,19D01C01S01,ZONA 7,ZAMORA CHINCHIPE,ZAMORA,CENTRO,CENTRO 1,19,1901,190150,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,"ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS",SIN DATO
20221.02,APREHENDIDO,SOLTERO/A,REGULAR,25,HOMBRE,MASCULINO,ECUATORIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/16/2024,19:00,ESPACIO PRIVADO,ÁREA PRIVADA,09D05,09D05C03,09D05C03S05,ZONA 8,DMG,MODELO,GUAYACANES,GUAYACANES 5,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS CONTRA LA LIBERTAD PERSONAL,SECUESTRO EXTORSIVO,SIN DATO
4011,APREHENDIDO,SOLTERO/A,SIN DATO,22,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,MOTOCICLETA,ARMAS DE FUEGO,OTROS,1/13/2024,21:20,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,07D05,07D05C06,07D05C06S02,ZONA 7,EL ORO,HUAQUILLAS,HUALTACO,HUALTACO 2,7,707,70750,EL ORO,HUAQUILLAS,HUAQUILLAS,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO A PERSONAS,ASALTO
40121.04,APREHENDIDO,SOLTERO/A,SIN DATO,22,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/18/2024,21:30,MEDIAGUA,VIVIENDA/ALOJAMIENTO,09D12,09D12C03,09D12C03S01,ZONA 5,GUAYAS,NARANJAL BALAO,NARANJAL CENTRO,NARANJAL CENTRO 1,9,911,91150,GUAYAS,NARANJAL,NARANJAL,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO DE MOTOS,ASALTO
60124.01,APREHENDIDO,CASADO/A,SIN DATO,30,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,MOTOCICLETA,NINGUNA,NINGUNA,1/7/2024,12:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D04,17D04C06,17D04C06S04,ZONA 9,DMQ,MANUELA SAENZ,SAN JUAN,SAN JUAN 4,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
20721.02,APREHENDIDO,SOLTERO/A,SIN DATO,25,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,ALIENTO A LICOR,SIN DATO,NINGUNA,NINGUNA,1/4/2024,23:12,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,05D06,05D06C02,05D06C02S01,ZONA 3,COTOPAXI,SALCEDO,SALCEDO,SALCEDO 1,5,505,50550,COTOPAXI,SALCEDO,SAN MIGUEL,SI,CONTRAVENCIONES DE TRÁNSITO,CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ,DE 0.3 A 0.8 GRAMOS
90111.03,APREHENDIDO,SOLTERO/A,SIN DATO,23,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,ARMAS DE FUEGO,PISTOLAS,1/12/2024,0:30,CASA/VILLA,VIVIENDA/ALOJAMIENTO,12D03,12D03C02,12D03C02S02,ZONA 5,LOS RIOS,QUEVEDO,CONTROL,CONTROL 2,12,1205,120550,LOS RIOS,QUEVEDO,QUEVEDO,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,TENENCIA Y PORTE DE ARMAS,SIN DATO
80690.02,APREHENDIDO,SOLTERO/A,NO APLICA,23,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/24/2024,17:30,CRS MIXTO-QUEVEDO,CENTRO DE REHABILITACIÓN SOCIAL (CRS),12D03,12D03C05,12D03C05S02,ZONA 5,LOS RIOS,QUEVEDO,GALO PLAZA,GALO PLAZA 2,12,1205,120550,LOS RIOS,QUEVEDO,QUEVEDO,SI,DELITOS CONTRA LA TUTELA JUDICIAL EFECTIVA,INGRESO DE ARTÍCULOS PROHIBIDOS,SIN DATO
,APREHENDIDO,CASADO/A,NO APLICA,38,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,AUTOMOVIL,NINGUNA,NINGUNA,1/17/2024,7:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,01D04,01D04C06,01D04C06S01,ZONA 6,AZUAY,GUALACEO,REMIGIO CRESPO,REMIGIO CRESPO 1,1,103,10356,AZUAY,GUALACEO,REMIGIO CRESPO TORAL (GULAG),SI,DELITOS CULPOSOS DE TRÁNSITO,LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO,SIN DATO
10102.04,DETENIDO,SOLTERO/A,NO APLICA,63,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/16/2024,14:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,09D04,09D04C04,09D04C04S04,ZONA 8,DMG,PORTETE,PORTETE,PORTETE 4,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS CONTRA LA INTEGRIDAD SEXUAL Y REPRODUCTIVA,VIOLACIÓN,SIN DATO
80620.03,APREHENDIDO,SOLTERO/A,NO APLICA,24,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/8/2024,22:30,CRS MIXTO-RIOBAMBA,CENTRO DE REHABILITACIÓN SOCIAL (CRS),06D01,06D01C19,06D01C19S02,ZONA 3,CHIMBORAZO,RIOBAMBA,SAN LUIS,SAN LUIS 2,6,601,60161,CHIMBORAZO,RIOBAMBA,SAN LUIS,SI,DELITOS CONTRA LA TUTELA JUDICIAL EFECTIVA,EVASIÓN,SIN DATO
90400.16,APREHENDIDO,SOLTERO/A,SIN DATO,23,HOMBRE,MASCULINO,ECUATORIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/13/2024,20:00,METRO,TRANSPORTE,17D05,17D05C04,17D05C04S01,ZONA 9,DMQ,EUGENIO ESPEJO,UNIVERSITARIO,UNIVERSITARIO 1,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,PARALIZACIÓN DE UN SERVICIO PÚBLICO,SIN DATO
90610.02,APREHENDIDO,SOLTERO/A,SIN DATO,20,HOMBRE,MASCULINO,ECUATORIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,0,SIN DATO,NORMAL,A PIE,ARMAS DE FUEGO,PISTOLA,1/9/2024,18:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,08D01,08D01C02,08D01C02S01,ZONA 1,ESMERALDAS,ESMERALDAS,LAS PALMAS,LAS PALMAS 1,8,801,80150,ESMERALDAS,ESMERALDAS,ESMERALDAS,SI,TERRORISMO Y SU FINANCIACIÓN,TERRORISMO,SIN DATO
,DETENIDO,DIVORCIADO/A,SIN DATO,51,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/29/2024,8:05,CORTE NACIONAL DE JUSTICIA,ENTIDADES PUBLICAS,06D01,06D01C06,06D01C06S02,ZONA 3,CHIMBORAZO,RIOBAMBA,LA ESTACION,LA ESTACION 2,6,601,60150,CHIMBORAZO,RIOBAMBA,RIOBAMBA,NO,BOLETAS,BOLETA DE DETENCIÓN/CAPTURA,SIN DATO
80900.02,APREHENDIDO,DIVORCIADO/A,NO APLICA,47,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,ALIENTO A LICOR,SIN DATO,NINGUNA,NINGUNA,1/12/2024,1:00,NIGHT CLUB,CENTROS DE DIVERSIÓN,11D03,11D03C01,11D03C01S01,ZONA 7,LOJA,CATACOCHA,CATACOCHA,CATACOCHA 1,11,1109,110950,LOJA,PALTAS,CATACOCHA,SI,DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA,INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE,SIN DATO
70490.03,APREHENDIDO,SOLTERO/A,NO APLICA,17,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/19/2024,15:30,ESPACIO PRIVADO,ÁREA PRIVADA,23D02,23D02C03,23D02C03S01,ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO OESTE,BOMBOLI,BOMBOLI 1,23,2301,230150,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,RECEPTACIÓN,SIN DATO
,DETENIDO,CASADO/A,NO APLICA,25,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/26/2024,22:00,CASA/VILLA,VIVIENDA/ALOJAMIENTO,07D02,07D02C14,07D02C14S03,ZONA 7,EL ORO,MACHALA,LAS KATYAS,LAS KATYAS 3,7,701,70150,EL ORO,MACHALA,MACHALA,NO,BOLETAS,BOLETA DE APREMIO,SIN DATO
90111.02,APREHENDIDO,SOLTERO/A,SIN DATO,23,HOMBRE,MASCULINO,ECUATORIANO,SIN DATO,0,SIN DATO,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/15/2024,18:30,POLICÍA NACIONAL,UNIDADES DE REACCIÓN Y EMERGENCIA,09D01,09D01C01,09D01C01S02,ZONA 8,DMG,SUR,GUASMO,GUASMO 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,"ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS",SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,SIN DATO,47,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/3/2024,12:00,CASA/VILLA,VIVIENDA/ALOJAMIENTO,07D02,07D02C16,07D02C16S02,ZONA 7,EL ORO,MACHALA,CRISTO DEL CONSUELO,CRISTO DEL CONSUELO 2,7,701,70150,EL ORO,MACHALA,MACHALA,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
60124.01,APREHENDIDO,SIN DATO,SIN DATO,,HOMBRE,MASCULINO,COLOMBIANO,MESTIZO/A,0,SIN DATO,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/20/2024,13:30,ESPACIO PRIVADO,ÁREA PRIVADA,08D01,08D01C05,08D01C05S01,ZONA 1,ESMERALDAS,ESMERALDAS,EL ARENAL,EL ARENAL 1,8,801,80150,ESMERALDAS,ESMERALDAS,ESMERALDAS,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
,DETENIDO,DIVORCIADO/A,NO APLICA,34,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/30/2024,11:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,11D06,11D06C09,11D06C09S01,ZONA 7,LOJA,CALVAS,SAN ANTONIO DE LAS ARADAS,SAN ANTONIO DE LAS ARADAS 1,11,1115,111552,LOJA,QUILANGA,SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS),SI,BOLETAS,BOLETA DE DETENCIÓN/CAPTURA,SIN DATO
4011,APREHENDIDO,SOLTERO/A,NO APLICA,36,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,MOTOCICLETA,ARMAS DE FUEGO,REVÓLVER,1/31/2024,16:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,12D04,12D04C07,12D04C07S01,ZONA 5,LOS RIOS,VENTANAS,QUINSALOMA,QUINSALOMA 1,12,1213,121350,LOS RIOS,QUINSALOMA,QUINSALOMA,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ROBO A PERSONAS,ASALTO
60124.01,APREHENDIDO,SOLTERO/A,IRREGULAR,22,HOMBRE,MASCULINO,VENEZOLANO,SIN DATO,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/23/2024,14:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D09,17D09C05,17D09C05S02,ZONA 9,DMQ,TUMBACO,PIFO,PIFO 2,17,1701,170175,PICHINCHA,QUITO,PIFO,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,SIN DATO,22,HOMBRE,MASCULINO,VENEZOLANO,SIN DATO,0,SIN DATO,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/27/2024,16:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D09,17D09C05,17D09C05S02,ZONA 9,DMQ,TUMBACO,PIFO,PIFO 2,17,1701,170175,PICHINCHA,QUITO,PIFO,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
